,RateCodeID,RatecodeID,VendorID,dropoff_latitude,dropoff_longitude,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_latitude,pickup_longitude,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
73,1.0,,2,40.7205924987793,-74.01228332519531,0.0,9.0,0.3,0.5,1,1,40.726173400878906,-73.99131774902342,N,1.0,0.0,10.8,2015-01-07 09:09:37,2015-01-07 09:00:54,1.87
74,1.0,,1,40.76735305786133,-73.96659088134766,0.0,5.0,0.3,0.5,1,2,40.76103591918945,-73.9674530029297,N,0.0,0.0,5.8,2015-01-20 10:12:31,2015-01-20 10:08:01,0.6
75,1.0,,1,40.729248046875,-73.98725128173827,0.0,6.5,0.3,0.5,4,2,40.72579956054688,-74.00079345703125,N,0.0,0.0,7.3,2015-01-25 18:36:50,2015-01-25 18:29:44,1.3
76,1.0,,1,40.76051330566406,-73.9713592529297,0.0,4.0,0.3,0.5,3,1,40.75688934326172,-73.96348571777344,N,1.2,0.0,6.0,2015-01-07 15:20:39,2015-01-07 15:17:11,0.5
77,1.0,,2,40.7464714050293,-73.97806549072266,0.5,10.5,0.3,0.5,1,1,40.72219848632813,-73.9864730834961,N,2.0,0.0,13.8,2015-01-31 01:41:44,2015-01-31 01:34:00,2.93
78,1.0,,1,40.688812255859375,-73.98988342285155,1.0,23.5,0.0,0.5,1,1,40.76101684570313,-73.9613037109375,N,7.5,0.0,32.8,2015-01-02 18:18:58,2015-01-02 17:57:29,7.4
79,1.0,,1,40.74965286254883,-73.9916458129883,0.0,7.5,0.3,0.5,1,1,40.74332427978516,-73.9818801879883,N,3.0,0.0,11.3,2015-01-18 14:08:58,2015-01-18 13:59:50,0.8
80,1.0,,1,40.76420974731445,-73.97499084472656,0.0,5.5,0.3,0.5,1,1,40.75303649902344,-73.98532104492188,N,0.0,0.0,6.3,2015-01-31 17:24:56,2015-01-31 17:20:39,1.0
81,1.0,,1,40.78045272827149,-73.97986602783203,0.0,3.5,0.3,0.5,1,2,40.784950256347656,-73.97315979003906,N,0.0,0.0,4.3,2015-01-11 08:45:19,2015-01-11 08:43:58,0.6
82,1.0,,2,40.7187385559082,-74.0025863647461,0.5,5.0,0.3,0.5,6,1,40.72463989257813,-73.99363708496094,N,1.1,0.0,7.4,2015-01-11 01:38:14,2015-01-11 01:34:15,0.74
